Time,Counted time,Deadtime factor,Counts,Counts (deadtime corrected)
2021-09-02 12:38,60,1.001,2241,2242
2021-09-02 12:40,60,1.001,2161,2162
2021-09-02 12:57,60,1.001,1991,1992
2021-09-02 12:58,60,1.000,1957,1958
2021-09-02 13:00,60,1.000,2074,2075
2021-09-02 13:01,60,1.000,1948,1949
2021-09-02 13:18,60,1.000,1737,1738
2021-09-02 13:19,60,1.000,1715,1716
2021-09-02 13:21,60,1.000,1717,1718
2021-09-02 13:22,60,1.000,1714,1715
2021-09-02 13:39,60,1.000,1574,1575
2021-09-02 13:41,60,1.000,1531,1532
2021-09-02 13:42,60,1.000,1559,1560
2021-09-02 13:44,60,1.000,1475,1475
2021-09-02 14:00,60,1.000,1330,1330
2021-09-02 14:02,60,1.000,1387,1387
2021-09-02 14:03,60,1.000,1315,1315
2021-09-02 14:05,60,1.000,1366,1366
2021-09-02 14:22,60,1.000,1144,1144
2021-09-02 14:23,60,1.000,1176,1176
2021-09-02 14:25,60,1.000,1168,1168
2021-09-02 14:26,60,1.000,1125,1125
2021-09-02 14:43,60,1.000,1009,1009
2021-09-02 14:44,60,1.000,1007,1007
2021-09-02 14:46,60,1.000,1037,1037
2021-09-02 14:47,60,1.000,987,987
2021-09-02 15:04,60,1.000,945,945
2021-09-02 15:06,60,1.000,888,888
2021-09-02 15:07,60,1.000,901,901
2021-09-02 15:09,60,1.000,881,881
2021-09-02 15:24,60,1.000,815,815
2021-09-02 15:26,60,1.000,803,803
2021-09-02 15:27,60,1.000,864,864
2021-09-02 15:28,60,1.000,872,872
2021-09-02 15:45,60,1.000,733,733
2021-09-02 15:47,60,1.000,679,679
2021-09-02 15:48,60,1.000,762,762
2021-09-02 15:50,60,1.000,690,690
2021-09-02 16:07,60,1.000,661,661
2021-09-02 16:08,60,1.000,611,611
2021-09-02 16:10,60,1.000,638,638
2021-09-02 16:11,60,1.000,625,625
2021-09-02 16:28,60,1.000,597,597
2021-09-02 16:29,60,1.000,574,574
2021-09-02 16:31,60,1.000,594,594
2021-09-02 16:32,60,1.000,537,537
2021-09-02 16:48,60,1.000,495,495
2021-09-02 16:49,60,1.000,541,541
2021-09-02 16:51,60,1.000,469,469
2021-09-02 16:52,60,1.000,517,517
2021-09-02 17:09,60,1.000,469,469
2021-09-02 17:11,60,1.000,429,429
2021-09-02 17:12,60,1.000,424,424
2021-09-02 17:14,60,1.000,452,452
2021-09-02 17:30,60,1.000,346,346
2021-09-02 17:32,60,1.000,392,392
2021-09-02 17:33,60,1.000,366,366
2021-09-02 17:35,60,1.000,385,385
2021-09-02 17:52,60,1.000,356,356
2021-09-02 17:53,60,1.000,361,361
2021-09-02 17:55,60,1.000,361,361
2021-09-02 17:56,60,1.000,317,317
2021-09-02 18:13,60,1.000,321,321
2021-09-02 18:15,60,1.000,335,335
2021-09-02 18:16,60,1.000,326,326
2021-09-02 18:18,60,1.000,300,300
2021-09-02 18:35,60,1.000,271,271
2021-09-02 18:36,60,1.000,287,287
2021-09-02 18:38,60,1.000,279,279
2021-09-02 18:39,60,1.000,273,273
2021-09-02 18:56,60,1.000,266,266
2021-09-02 18:57,60,1.000,246,246
2021-09-02 18:59,60,1.000,268,268
2021-09-02 19:00,60,1.000,271,271
2021-09-02 19:27,300,1.000,228.8,229
2021-09-02 19:32,300,1.000,230.2,230
2021-09-02 19:38,300,1.000,213,213
2021-09-02 19:43,300,1.000,210.8,211
2021-09-02 20:28,300,1.000,179.4,179
2021-09-02 20:34,300,1.000,160,160
2021-09-02 20:39,300,1.000,162.4,162
2021-09-02 20:44,300,1.000,151.6,152
2021-09-02 21:29,300,1.000,148.2,148
2021-09-02 21:35,300,1.000,138.6,139
2021-09-02 21:40,300,1.000,133.4,133
2021-09-02 21:46,300,1.000,126.4,126
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
